"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"YGR234W",463.939825304083,-4.33952916851055,0.15070435820933,3.69984502502547e-184,2.16218943262489e-180
"YML123C",752.863119362059,-4.58953876801806,0.174436765074637,1.16031183909874e-153,3.39043119384652e-150
"YPL019C",319.498214615586,-2.64083720487813,0.142474869885318,6.86266677831252e-78,1.33684748841528e-74
"YER081W",680.371778913643,3.01774496605166,0.169556775382988,4.81082640566313e-72,7.02861737867384e-69
"YOR290C",120.320614267801,-6.91868813535342,0.417586700339783,1.37855471210044e-61,1.61125474750299e-58
"YKL109W",269.66931786581,-2.17984239792833,0.13526038018711,1.45027005654222e-59,1.41256303507213e-56
"YOR273C",331.721317784574,-2.19716057934838,0.140302850813872,1.61656894753076e-56,1.34960413276711e-53
"YDR033W",618.216484879452,-3.72506443309951,0.239871136701362,8.41208855516205e-56,6.14503068954588e-53
"YDR406W",227.42865385732,-2.14531821291088,0.138628959961522,3.09061994360033e-55,2.00684255004448e-52
"YJL012C",386.015532404184,-1.44294691009107,0.0977719938262515,2.28700911960277e-50,1.33652812949586e-47
"YER011W",217.707699155947,-3.95544069206354,0.268627987918941,5.82282160143158e-50,3.0935063126151e-47
"YBR092C",165.323161708267,-2.62584874191601,0.180116069809156,2.9980360424534e-49,1.4600435526748e-46
"YKL062W",183.76938217674,-1.97501253801039,0.145833974560001,5.45097161764074e-43,2.45042139488404e-40
"YHR136C",71.1865294216005,-4.59103544066759,0.3394905981242,2.07333708691539e-42,8.65470138280967e-40
"YCL064C",473.747337160876,-1.40603771888815,0.105375037577219,1.14812292428783e-41,4.47308691302537e-39
"YIL121W",136.265868427418,-2.52066584776512,0.191426001161417,1.27435024963743e-40,4.65456428680072e-38
"YGR035C",60.7282636833127,-4.24053271466238,0.325977752404452,1.76487762763427e-39,6.06702638582038e-37
"YLR413W",413.380203048808,-2.35635418470394,0.187456165827175,2.25126696553343e-37,7.3091134147652e-35
"YHR215W",45.7994239543905,-5.48183543150266,0.433655254710845,4.63259842961158e-37,1.42488974856053e-34
"YDR399W",245.454696992003,-1.91634409956049,0.154022979078402,8.74374121766507e-37,2.55492118380173e-34
"YFR015C",815.264391122139,-2.95275321795267,0.238571313422641,1.80734890685844e-36,5.02959381508607e-34
"YPR149W",432.505629892764,-2.20748045636581,0.184290491579313,2.52201214674785e-34,6.69938135708837e-32
"YOR153W",1138.25290928149,-2.90405463851469,0.244671458309433,9.1083279564846e-34,2.31430732946504e-31
"YMR006C",199.707500620247,-1.76440172528046,0.148387887682344,1.001561482192e-33,2.43880220913751e-31
"YIL169C",220.748218627551,-2.61433516858316,0.221458363791579,2.59145396843534e-33,6.05778279661446e-31
"YER124C",107.526917093285,-1.97600959604265,0.168401888685045,6.03643666639556e-33,1.35680522609291e-30
"YER001W",98.2913623255808,-2.36678518387624,0.205161962222226,6.20443239057165e-32,1.3429149218704e-29
"YDR055W",224.619997071782,-1.96843328942978,0.171296545211369,8.97686094013439e-32,1.87359911907662e-29
"YDR011W",285.614748177145,-1.17358858735625,0.102024120739193,1.51999086439483e-31,3.063043659146e-29
"YMR272C",205.092173824116,-1.34092520278087,0.116912472432123,1.66643338908834e-31,3.24621224194409e-29
"YPL095C",95.4635185866582,-2.03212041561432,0.178390768387732,2.65320247510626e-31,5.00171460145837e-29
"YNL160W",162.582045525802,-2.09914676954295,0.184548409760517,3.23291894632406e-31,5.90411822572432e-29
"YOR306C",138.312556057984,-1.31674769602265,0.119497426072,3.16219208074607e-29,5.59995470299394e-27
"YFR055W",143.692790093549,-2.16989572696987,0.200885826942673,2.07103891665049e-28,3.55975042026631e-26
"YBR244W",51.5021337882274,-2.76414747295007,0.265770375742403,1.49760746457027e-26,2.50057657798534e-24
"YGR233C",100.868794633685,-1.38719047882464,0.133576225095275,2.8720758470525e-26,4.66233645838189e-24
"YJR010W",115.973313201387,1.48988540281279,0.143961833703912,3.34044077963263e-26,5.27609078815489e-24
"YGL028C",131.191468029853,-1.4088381867477,0.138692854710853,3.05035861813043e-25,4.69113046430374e-23
"YBR093C",154.183520840734,-2.18249239702729,0.218252324395462,8.38617539739299e-25,1.25663612877858e-22
"YHL047C",238.248538676173,-1.8935097594361,0.189320972966262,8.96644046806432e-25,1.3099969523842e-22
"YEL040W",627.968639372291,-1.25118794147443,0.126283107161282,3.82317207846424e-24,5.44941893330367e-22
"YDL037C",29.9020127427331,-3.73207877002694,0.375032951188237,4.36391989447172e-24,6.07208282459351e-22
"YHR092C",1215.77051949422,-2.43871270882938,0.247974013142301,4.54945897250498e-24,6.18303214774863e-22
"YDR044W",315.446881284048,-1.54040626927766,0.157895935339155,1.36677759735168e-23,1.81532915430073e-21
"YPL057C",193.607296552121,-1.00840169603232,0.104459252222353,5.8755664275172e-23,7.63040226720233e-21
"YDR342C",254.235295549512,-2.88299493932917,0.308199707759818,4.6054032811168e-22,5.85086451627099e-20
"YDR077W",3615.68043094559,-2.77690961348454,0.297322257933933,4.89534831206812e-22,6.08689692249492e-20
"YDR133C",725.368059724546,-1.26990951272919,0.13573659427719,8.00949562466977e-22,9.75156092303544e-20
"YGR051C",35.0789296730199,2.41697730821034,0.2635147625084,3.76514502980531e-21,4.49051174575148e-19
"YGL120C",173.843057294421,-1.37159272805356,0.150211308229674,6.15840183618976e-21,7.19794006613859e-19
"YBL005W",80.6857714675643,-1.35629614845085,0.151270428413793,3.29246505583157e-20,3.77277760515288e-18
"YOL130W",195.039473252972,-1.01464564847574,0.112823799707665,3.46602080592085e-20,3.89527415188489e-18
"YBR067C",688.046545088128,-2.44536255755513,0.275624256698229,4.83725919794361e-20,5.33376278354386e-18
"YER072W",415.70198573795,-1.18222834982615,0.136570142032052,4.75801286513954e-19,5.14922725627324e-17
"YPL025C",19.5287321977416,3.58472608336796,0.413480131754929,5.37458064835145e-19,5.7107362379938e-17
"YOR222W",238.011408785312,0.879343666328746,0.101636941585417,7.74687885251619e-19,8.0844214310901e-17
"YNL248C",111.244469018725,-1.64551548184163,0.19303930860622,1.2598412370257e-18,1.29166880511898e-16
"YAL061W",221.770533844921,-1.75962528502711,0.210569759821579,4.37556898855803e-18,4.40876296019537e-16
"YLR214W",234.386355908892,-1.26069271790449,0.15120866174127,8.14364114235828e-18,8.06634556541386e-16
"YER037W",61.6607100088058,-1.66961999594249,0.202340333552477,1.24097175548385e-17,1.20870648984127e-15
"YMR122C",33.1655005121465,2.18359426654117,0.268035122118522,2.52262355551923e-17,2.41675607515645e-15
"YOL002C",170.798298482441,-1.9220418167301,0.236665990456598,3.12728874468678e-17,2.94772184257251e-15
"YNL024C",42.7395042307793,-1.66735315938097,0.206102518499886,5.11873383379934e-17,4.74823500392434e-15
"YPL134C",95.4727243751635,1.36409541743104,0.170231672485288,9.36797009067669e-17,8.55412768904915e-15
"YNL141W",120.578580924626,-1.50969176597528,0.189011541288309,1.23449697947337e-16,1.10990774585267e-14
"YLR136C",54.361540453307,-1.50991800613861,0.189377886104306,1.51743803264677e-16,1.34362240345268e-14
"YNL134C",208.699371169557,-1.22199811579564,0.154463084839979,2.3614582834009e-16,2.05975555346192e-14
"YBL005W-B",17.1877785518694,-2.73647659611058,0.352321513040325,7.61412609444353e-16,6.54366954351882e-14
"YAR071W",15.4657850681453,-2.8002980852292,0.359413190639577,7.89617399936215e-16,6.68771606554673e-14
"YOR178C",108.443794514752,-1.38972965990633,0.181664240897338,1.8990660047147e-15,1.58544881879325e-13
"YOR108W",119.043410470219,-1.39544920592816,0.184395004921901,3.17056934318452e-15,2.60969116078456e-13
"YGR211W",102.845548491409,-1.39251566468786,0.18424977098339,3.73489748944465e-15,3.03149179559924e-13
"YCR021C",72.4515603536992,-1.85757810738006,0.247768222845601,4.17419849195944e-15,3.34164602561794e-13
"YMR045C",14.2290777013372,-3.48207527168533,0.457925083840114,4.34500373480286e-15,3.43137862516053e-13
"YBR241C",136.620234750191,1.43111593931217,0.19079866054519,4.85346973431524e-15,3.74966862466627e-13
"YMR319C",427.458607908833,-0.858050640416537,0.11283862432794,4.87636576787537e-15,3.74966862466627e-13
